stratum_type,stratum,dataset_id,antibiotic,n,n_resistant,n_susceptible,tp,tn,fp,fn,prevalence,sensitivity,specificity,false_susceptible_rate,false_resistant_rate,balanced_accuracy,mcc,ppv,npv,auroc_binary_score,auprc_binary_score,brier_binary_score,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,false_susceptible_rate_ci_low,false_susceptible_rate_ci_high,false_resistant_rate_ci_low,false_resistant_rate_ci_high,ppv_ci_low,ppv_ci_high,npv_ci_low,npv_ci_high,balanced_accuracy_bootstrap_low,balanced_accuracy_bootstrap_high,mcc_bootstrap_low,mcc_bootstrap_high,auroc_binary_score_bootstrap_low,auroc_binary_score_bootstrap_high,auprc_binary_score_bootstrap_low,auprc_binary_score_bootstrap_high,brier_binary_score_bootstrap_low,brier_binary_score_bootstrap_high
COUNTRY,KGZ,MULTI_COHORT,levofloxacin,4,1,3,1,3,0,0,0.25,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.025,1.0,0.2924017738212866,1.0,0.0,0.975,0.0,0.7075982261787133,0.025,1.0,0.2924017738212866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,KOR,MULTI_COHORT,clarithromycin,23,7,16,7,16,0,0,0.30434782608695654,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5903836027749966,1.0,0.7940927857921772,1.0,0.0,0.40961639722500337,0.0,0.2059072142078227,0.5903836027749966,1.0,0.7940927857921772,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,KOR,MULTI_COHORT,levofloxacin,23,10,13,10,13,0,0,0.43478260869565216,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6915028921812392,1.0,0.752947361999529,1.0,0.0,0.3084971078187607,0.0,0.24705263800047092,0.6915028921812392,1.0,0.752947361999529,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,LAT,MULTI_COHORT,clarithromycin,14,1,13,1,13,0,0,0.07142857142857142,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.025,1.0,0.752947361999529,1.0,0.0,0.975,0.0,0.24705263800047092,0.025,1.0,0.752947361999529,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,LAT,MULTI_COHORT,levofloxacin,14,1,13,1,13,0,0,0.07142857142857142,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.025,1.0,0.752947361999529,1.0,0.0,0.975,0.0,0.24705263800047092,0.025,1.0,0.752947361999529,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,LIT,MULTI_COHORT,clarithromycin,12,4,8,4,8,0,0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3976353643835253,1.0,0.6305833524471807,1.0,0.0,0.6023646356164746,0.0,0.3694166475528192,0.3976353643835253,1.0,0.6305833524471807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,MAL,MULTI_COHORT,clarithromycin,9,2,7,2,7,0,0,0.2222222222222222,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15811388300841897,1.0,0.5903836027749966,1.0,0.0,0.841886116991581,0.0,0.40961639722500337,0.15811388300841897,1.0,0.5903836027749966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,MAL,MULTI_COHORT,levofloxacin,9,1,8,1,8,0,0,0.1111111111111111,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.025,1.0,0.6305833524471807,1.0,0.0,0.975,0.0,0.3694166475528192,0.025,1.0,0.6305833524471807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,MEX,MULTI_COHORT,levofloxacin,18,9,9,9,9,0,0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6637328831200572,1.0,0.6637328831200572,1.0,0.0,0.3362671168799428,0.0,0.3362671168799428,0.6637328831200572,1.0,0.6637328831200572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,NGA,MULTI_COHORT,levofloxacin,2,1,1,1,1,0,0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.025,1.0,0.025,1.0,0.0,0.975,0.0,0.975,0.025,1.0,0.025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,PER,MULTI_COHORT,clarithromycin,14,3,11,3,11,0,0,0.21428571428571427,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2924017738212866,1.0,0.7150858470818455,1.0,0.0,0.7075982261787133,0.0,0.28491415291815436,0.2924017738212866,1.0,0.7150858470818455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,PER,MULTI_COHORT,levofloxacin,14,6,8,6,8,0,0,0.42857142857142855,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5407418735600995,1.0,0.6305833524471807,1.0,0.0,0.45925812643990044,0.0,0.3694166475528192,0.5407418735600995,1.0,0.6305833524471807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,POL,MULTI_COHORT,clarithromycin,12,9,3,9,3,0,0,0.75,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6637328831200572,1.0,0.2924017738212866,1.0,0.0,0.3362671168799428,0.0,0.7075982261787133,0.6637328831200572,1.0,0.2924017738212866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,POL,MULTI_COHORT,levofloxacin,12,6,6,6,6,0,0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5407418735600995,1.0,0.5407418735600995,1.0,0.0,0.45925812643990044,0.0,0.45925812643990044,0.5407418735600995,1.0,0.5407418735600995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,POR,MULTI_COHORT,clarithromycin,14,1,13,1,13,0,0,0.07142857142857142,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.025,1.0,0.752947361999529,1.0,0.0,0.975,0.0,0.24705263800047092,0.025,1.0,0.752947361999529,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,POR,MULTI_COHORT,levofloxacin,14,6,8,6,8,0,0,0.42857142857142855,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5407418735600995,1.0,0.6305833524471807,1.0,0.0,0.45925812643990044,0.0,0.3694166475528192,0.5407418735600995,1.0,0.6305833524471807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,PRI,MULTI_COHORT,levofloxacin,5,3,2,3,2,0,0,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2924017738212866,1.0,0.15811388300841897,1.0,0.0,0.7075982261787133,0.0,0.841886116991581,0.2924017738212866,1.0,0.15811388300841897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,RUS,MULTI_COHORT,clarithromycin,5,1,4,1,4,0,0,0.2,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.025,1.0,0.3976353643835253,1.0,0.0,0.975,0.0,0.6023646356164746,0.025,1.0,0.3976353643835253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,RUS,MULTI_COHORT,levofloxacin,5,3,2,3,2,0,0,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2924017738212866,1.0,0.15811388300841897,1.0,0.0,0.7075982261787133,0.0,0.841886116991581,0.2924017738212866,1.0,0.15811388300841897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
COUNTRY,SPA,MULTI_COHORT,clarithromycin,39,15,24,15,24,0,0,0.38461538461538464,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7819806390894659,1.0,0.8575264022774743,1.0,0.0,0.218019360910534,0.0,0.14247359772252563,0.7819806390894659,1.0,0.8575264022774743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
